"Run Date","Account","Account Number","Action","Symbol","Security Description","Security Type","Quantity","Price ($)","Amount ($)","Commission ($)","Fees ($)","Status","Order Type","Time in Force","Order Date","Order Time","Settle Date","Expiration","Link ID","Info","Ticker","Position Effect"
"01/05/2026","Individual","Z1234567","YOU BOUGHT","AAPL","APPLE COMPUTER INC","EQUITY","100","192.45","-19245.00","0.00","0.00","Executed","Limit","Day","01/05/2026","10:15:00","01/06/2026","","","","AAPL",""
"01/12/2026","Individual","Z1234567","YOU BOUGHT","MSFT","MICROSOFT CORP","EQUITY","50","400.00","-20000.00","0.00","0.00","Executed","Limit","Day","01/12/2026","09:30:00","01/13/2026","","","","MSFT",""
"01/14/2026","Individual","Z1234567","YOU BOUGHT","MSFT","MICROSOFT CORP","EQUITY","50","410.00","-20500.00","0.00","0.00","Executed","Limit","Day","01/14/2026","11:00:00","01/15/2026","","","","MSFT",""
"01/15/2026","Individual","Z1234567","YOU SOLD","AAPL","APPLE COMPUTER INC","EQUITY","100","198.00","19800.00","0.00","0.00","Executed","Limit","Day","01/15/2026","14:30:00","01/16/2026","","","","AAPL",""
"01/16/2026","Individual","Z1234567","YOU SOLD","TSLA","TESLA INC","EQUITY","5","250.00","1250.00","0.00","0.00","Executed","Limit","Day","01/16/2026","10:00:00","01/19/2026","","","","TSLA",""
"01/19/2026","Individual","Z1234567","YOU BOUGHT","NVDA","NVIDIA CORP","EQUITY","10","120.00","-1200.00","0.00","0.00","Executed","Limit","Day","01/19/2026","09:45:00","01/20/2026","","","","NVDA",""
"01/20/2026","Individual","Z1234567","YOU SOLD","MSFT","MICROSOFT CORP","EQUITY","75","425.00","31875.00","0.00","0.00","Executed","Limit","Day","01/20/2026","13:00:00","01/21/2026","","","","MSFT",""
"01/21/2026","Individual","Z1234567","YOU SOLD","MSFT","MICROSOFT CORP","EQUITY","25","430.00","10750.00","0.00","0.00","Executed","Limit","Day","01/21/2026","09:30:00","01/22/2026","","","","MSFT",""
"01/22/2026","Individual","Z1234567","YOU RECEIVED A DIVIDEND","AAPL","APPLE COMPUTER INC","EQUITY","","0.00","25.00","0.00","0.00","","","","01/22/2026","","01/22/2026","","","","AAPL",""
"01/23/2026","Individual","Z1234567","ELECTRONIC FUNDS TRANSFER","CORE","CASH MANAGEMENT","CASH","","0.00","5000.00","0.00","0.00","Cleared","","","01/23/2026","","01/23/2026","","","","CORE",""
"01/26/2026","Individual","Z1234567","YOU BOUGHT","BRK.B","BERKSHIRE HATHAWAY INC","EQUITY","10","300.00","-3000.00","1.00","0.05","Executed","Limit","Day","01/26/2026","12:00:00","01/27/2026","","","","BRK.B",""
"01/27/2026","Individual","Z1234567","INTEREST PAID","CORE","CASH MANAGEMENT","CASH","","0.00","3.42","0.00","0.00","Cleared","","","01/27/2026","","01/27/2026","","","","CORE",""
"01/28/2026","Individual","Z1234567","YOU SOLD","BRK.B","BERKSHIRE HATHAWAY INC","EQUITY","10","310.00","3100.00","1.00","0.05","Executed","Limit","Day","01/28/2026","15:00:00","01/29/2026","","","","BRK.B",""
"01/29/2026","Individual","Z1234567","YOU BOUGHT OPENING TRANSACTION CALL (SPY)","-SPY260720C00550000","SPY 07/20/26 C550","OPTION","1","2.45","-245.00","0.65","0.00","Executed","Limit","Day","01/29/2026","10:00:00","01/30/2026","","","","SPY",""
"02/02/2026","Individual","Z1234567","YOU BOUGHT","META","META PLATFORMS INC, CLASS A","EQUITY","50","620.00","-31000.00","0.00","0.00","Executed","Limit","Day","02/02/2026","10:30:00","02/03/2026","","","","META",""
"02/05/2026","Individual","Z1234567","YOU SOLD","META","META PLATFORMS INC, CLASS A","EQUITY","50","640.00","32000.00","0.00","0.00","Executed","Limit","Day","02/05/2026","14:00:00","02/06/2026","","","","META",""
